id,sequence,domain,response_type,task,choices,response,confidence,is_correct,task_type,condition,validity,believability,conflict,stimulus,qnum,total_qnum,rt,logRT,rt_for,statementEval
63873,26,conditional,single-choice,All B are C/All A are B,Yes/No,Yes,100.0,1,MP,Standard,Valid,Believable,No-conflict,<p>All things made of wood can be used as fuel.</p><p>Trees are made of wood.</p>,4,101,6465.10000002384,8.77417375899412,1749.0,9
63873,27,conditional,single-choice,All B are C/No A are B,Yes/No,Yes,100.0,0,DA,Standard,Invalid,Believable,Conflict,<p>All African countries are warm.</p><p>The North Pole is not an African country.</p>,2,2,2178.39999997616,7.6863459413486,1848.0,0
63873,28,conditional,single-choice,All B are C/No A are B,Yes/No,No,100.0,1,DA,Standard,Invalid,Unbelievable,No-conflict,<p>All lava is liquid.</p><p>Water is not lava.</p>,6,58,1584.70000004768,7.36815039397885,2130.69999992847,0
63873,29,conditional,single-choice,All B are C/No A are C,Yes/No,Yes,100.0,1,MT,Standard,Valid,Believable,No-conflict,<p>All cycling requires shoes.</p><p>Swimming does not require shoes.</p>,7,15,9892.39999997616,9.19952206453789,1524.30000007153,10
63873,30,conditional,single-choice,All B are C/No A are C,Yes/No,No,100.0,0,MT,Standard,Valid,Unbelievable,Conflict,<p>All things made of metal shine.</p><p>Old pennies don't shine</p>,4,100,4689.70000004768,8.45312389351973,1951.19999992847,4
63873,31,conditional,single-choice,All B are C/No A are C,Yes/No,Yes,100.0,1,MT,Standard,Valid,Believable,No-conflict,<p>All Scandinavian countries are cold.</p><p>Indonesia is not cold.</p>,5,83,1847.5,7.52158865282236,2473.70000004768,10
63873,32,conditional,single-choice,All B are C/All A are C,Yes/No,Yes,100.0,0,AC,Standard,Invalid,Believable,Conflict,<p>All birds have feathers.</p><p>Parrots have feathers.</p>,7,8,10265.7000000477,9.2365635200211,2042.0,10
63873,33,conditional,single-choice,All B are C/All A are C,Yes/No,Yes,100.0,0,AC,Standard,Invalid,Believable,Conflict,<p>All trees have roots.</p><p>Oaks have roots.</p>,1,116,1223.0,7.10906213568717,1999.5,10
63873,34,conditional,single-choice,All B are C/No A are C,Yes/No,No,100.0,0,MT,Standard,Valid,Unbelievable,Conflict,<p>All humans have two legs.</p><p>Leg amputees do not have two legs.</p>,3,51,1486.39999997616,7.30411236804353,1907.40000009537,0
63873,35,conditional,single-choice,All B are C/No A are C,Yes/No,No,100.0,0,MT,Standard,Valid,Believable,No-conflict,<p>All plants are green.</p><p>Mushrooms are not green.</p>,6,76,4788.09999990463,8.47388895198705,2059.19999992847,7
63873,36,conditional,single-choice,All B are C/No A are B,Yes/No,No,100.0,1,DA,Standard,Invalid,Unbelievable,No-conflict,<p>All mammals have teeth.</p><p>Sharks are not mammals.</p>,5,67,7105.0,8.8685540405312,2210.60000002384,0
63873,37,conditional,single-choice,All B are C/No A are B,Yes/No,Yes,100.0,0,DA,Standard,Invalid,Believable,Conflict,<p>All cycling requires shoes.</p><p>Swimming is not cycling.</p>,7,16,5045.69999992847,8.52629167438732,1642.60000002384,10
63873,38,conditional,single-choice,All B are C/No A are C,Yes/No,Yes,100.0,1,MT,Standard,Valid,Believable,No-conflict,<p>All fruits can be eaten.</p><p>Knives cannot be eaten.</p>,2,29,1850.29999995232,7.5231030670619,1872.10000002384,10
63873,39,conditional,single-choice,All B are C/All A are C,Yes/No,Yes,100.0,0,AC,Standard,Invalid,Believable,Conflict,<p>All flowers need air.</p><p>Daisies need air.</p>,5,23,836.299999952316,6.72898740033046,1833.89999997616,10
63873,40,conditional,single-choice,All B are C/No A are C,Yes/No,Yes,100.0,1,MT,Standard,Valid,Believable,No-conflict,<p>All African countries are warm.</p><p>The North Pole is not warm.</p>,1,3,5570.5,8.62524009549937,1626.19999992847,10
63873,41,conditional,single-choice,All B are C/No A are B,Yes/No,Yes,78.0,0,DA,Standard,Invalid,Believable,Conflict,<p>All glass objects are fragile.</p><p>Sofas are not made of glass.</p>,8,36,6497.5,8.77917276651564,2732.0,3
63873,42,conditional,single-choice,All B are C/All A are B,Yes/No,Yes,100.0,1,MP,Standard,Valid,Believable,No-conflict,<p>All trees have roots.</p><p>Oaks are trees.</p>,2,115,2335.10000002384,7.75580999574864,1911.30000007153,10
63873,43,conditional,single-choice,All B are C/All A are C,Yes/No,Yes,100.0,0,AC,Standard,Invalid,Unbelievable,No-conflict,<p>All things made of metal shine.</p><p>Diamonds shine.</p>,3,99,,,1918.29999995232,9
63873,44,conditional,single-choice,All B are C/No A are C,Yes/No,No,100.0,0,MT,Standard,Valid,Unbelievable,Conflict,<p>All mammals have fur.</p><p>Hedgehogs don't have fur.</p>,5,66,6300.20000004768,8.74833665791504,2843.0,1
63873,45,conditional,single-choice,All B are C/No A are B,Yes/No,Yes,100.0,0,DA,Standard,Invalid,Believable,Conflict,<p>All plants are green.</p><p>Mushroom are not plants.</p>,6,75,4995.0,8.51619269108265,1979.0,8
63873,46,conditional,single-choice,All B are C/All A are B,Yes/No,Yes,100.0,1,MP,Standard,Valid,Believable,No-conflict,<p>All flowers need water.</p><p>Roses are flowers.</p>,1,26,3137.30000007153,8.05111783641112,1829.80000007153,9
63873,47,conditional,single-choice,All B are C/All A are B,Yes/No,Yes,100.0,1,MP,Standard,Valid,Believable,No-conflict,<p>All trees have branches.</p><p>Maples are trees.</p>,6,113,1665.79999995232,7.41806076747261,1729.10000002384,4
63873,48,conditional,single-choice,All B are C/All A are C,Yes/No,No,100.0,1,AC,Standard,Invalid,Unbelievable,No-conflict,<p>All lava is liquid.</p><p>Water is liquid.</p>,7,57,1915.79999995232,7.5578905689239,3304.10000002384,0
63873,49,conditional,single-choice,All B are C/All A are B,Yes/No,No,100.0,0,MP,Standard,Valid,Unbelievable,Conflict,<p>All mammals can walk.</p><p>Whales are mammals.</p>,1,64,2686.60000002384,7.89603173263779,2029.39999997616,5
63873,50,conditional,single-choice,All B are C/All A are C,Yes/No,Yes,100.0,0,AC,Standard,Invalid,Believable,Conflict,<p>All flowers need water.</p><p>Roses need water.</p>,2,27,5291.90000009537,8.57393262862686,1780.30000007153,10
63873,51,conditional,single-choice,All B are C/All A are B,Yes/No,No,100.0,0,MP,Standard,Valid,Unbelievable,Conflict,<p>All humans have two legs.</p><p>Leg amputees are human.</p>,2,50,5178.70000004768,8.55230933851472,2604.10000002384,0
63873,52,conditional,single-choice,All B are C/All A are B,Yes/No,No,100.0,0,MP,Standard,Valid,Unbelievable,Conflict,<p>All reptiles have legs.</p><p>Snakes are reptiles.</p>,5,81,15184.1999999285,9.628010692518,1782.79999995232,0
63873,53,conditional,single-choice,All B are C/No A are C,Yes/No,No,100.0,0,MT,Standard,Valid,Unbelievable,Conflict,<p>All birds can fly.</p><p>Penguins cannot fly.</p>,1,5,1921.90000009537,7.56106955908998,2222.0,1
63873,54,conditional,single-choice,All B are C/All A are C,Yes/No,No,100.0,1,AC,Standard,Invalid,Unbelievable,No-conflict,<p>All trees will become tall.</p><p>Skyscrapers under construction will become tall.</p>,4,121,2948.5,7.98905184544056,2234.29999995232,0
63873,55,conditional,single-choice,All B are C/No A are B,Yes/No,Yes,100.0,0,DA,Standard,Invalid,Believable,Conflict,<p>All sports require equipment.</p><p>Talking is not a sport.</p>,4,91,5221.19999992847,8.56048253950093,1731.10000002384,9
63873,56,conditional,single-choice,All B are C/All A are C,Yes/No,Yes,100.0,0,AC,Standard,Invalid,Believable,Conflict,<p>All things made of wood can be used as fuel.</p><p>Trees can be used as fuel.</p>,3,102,2239.60000002384,7.71405255748538,2240.30000007153,9
63873,57,conditional,single-choice,All B are C/No A are C,Yes/No,No,100.0,0,MT,Standard,Valid,Unbelievable,Conflict,<p>All fuel is liquid.</p><p>Coal is not a liquid.</p>,6,32,1701.19999992847,7.43908916333743,2132.20000004768,1
63873,58,conditional,single-choice,All B are C/No A are B,Yes/No,No,100.0,1,DA,Standard,Invalid,Unbelievable,No-conflict,<p>All vehicles have wheels.</p><p>Trolley suitcases are not vehicles.</p>,2,123,3100.5,8.03931866778993,2544.20000004768,2
63873,59,conditional,single-choice,All B are C/All A are C,Yes/No,Yes,100.0,0,AC,Standard,Invalid,Believable,Conflict,<p>All trees have branches.</p><p>Maples have branches.</p>,6,114,992.5,6.90022701256135,2132.89999997616,10
63873,60,conditional,single-choice,All B are C/All A are C,Yes/No,Yes,100.0,0,AC,Standard,Invalid,Unbelievable,No-conflict,<p>All vehicles have wheels.</p><p>Trolley suitcases have wheels.</p>,1,124,122.0,4.80402104473326,1715.89999997616,3
63873,61,conditional,single-choice,All B are C/All A are B,Yes/No,Yes,100.0,1,MP,Standard,Valid,Believable,No-conflict,<p>All humans have skin.</p><p>Newborns are human.</p>,8,48,556.299999952316,6.32130771699553,1862.40000009537,10
63873,62,conditional,single-choice,All B are C/No A are B,Yes/No,Yes,100.0,0,DA,Standard,Invalid,Unbelievable,No-conflict,<p>All metals are solid.</p><p>Ceramic is not a metal.</p>,1,72,3374.60000002384,8.1240320777713,1816.89999997616,0
63873,63,conditional,single-choice,All B are C/No A are C,Yes/No,Yes,100.0,1,MT,Standard,Valid,Believable,No-conflict,<p>All things that are smoked are bad for your heath.</p><p>Salad is not bad for your health.</p>,4,106,3467.59999990463,8.15121799096698,1793.80000007153,10
63873,64,conditional,single-choice,All B are C/All A are C,Yes/No,No,100.0,1,AC,Standard,Invalid,Unbelievable,No-conflict,<p>All plants need sunlight.</p><p>Solar panels need sunlight.</p>,8,80,884.899999976158,6.78547464424636,2057.0,0
63884,1,conditional,single-choice,All B are C/No A are B,Yes/No,No,72.0,1,DA,Neutral,Invalid,Unbelievable,No-conflict,<p>All smolns are solid.</p><p>Ceramic is not a smoln.</p>,1,89,2632.90000000596,7.87584117928626,3038.40000000596,2
63884,2,conditional,single-choice,All B are C/All A are B,Yes/No,Yes,70.0,1,MP,Neutral,Valid,Believable,No-conflict,<p>All greembs have branches.</p><p>Maples are greembs.</p>,6,40,3286.59999999404,8.09760887474538,3012.70000001788,8
63884,3,conditional,single-choice,All B are C/No A are C,Yes/No,Yes,75.0,1,MT,Neutral,Valid,Believable,No-conflict,<p>All Scandinavian countries are volmy.</p><p>Indonesia is not volmy.</p>,5,84,4316.80000001192,8.3702696660162,2331.79999998212,2
63884,4,conditional,single-choice,All B are C/No A are B,Yes/No,No,78.0,1,DA,Neutral,Invalid,Unbelievable,No-conflict,<p>All joughts are green.</p><p>Solar panels are not joughts.</p>,8,54,2229.90000000596,7.70971202040203,4082.69999998808,0
63884,5,conditional,single-choice,All B are C/No A are C,Yes/No,Yes,63.0,1,MT,Neutral,Valid,Unbelievable,Conflict,<p>All vehicles need rorgs.</p><p>Bicycles do not need rorgs.</p>,8,126,8891.80000001192,9.09288478270472,3506.5,3
63884,6,conditional,single-choice,All B are C/All A are C,Yes/No,No,70.0,1,AC,Neutral,Invalid,Unbelievable,No-conflict,<p>All plants need draks.</p><p>Solar panels need draks.</p>,8,78,5166.20000001788,8.54989268758271,4482.70000001788,3
63884,7,conditional,single-choice,All B are C/All A are C,Yes/No,Yes,81.0,0,AC,Neutral,Invalid,Believable,Conflict,<p>All flowers need vak.</p><p>Roses need vak.</p>,2,25,2011.5,7.60663599138984,2738.79999998212,9
63884,8,conditional,single-choice,All B are C/No A are B,Yes/No,No,19.0,1,DA,Neutral,Invalid,Unbelievable,No-conflict,<p>All taizes have wheels.</p><p>Trolley suitcasees are not taizes.</p>,2,96,3879.5,8.263461558334,2333.5,3
63884,9,conditional,single-choice,All B are C/All A are C,Yes/No,Yes,82.0,0,AC,Neutral,Invalid,Believable,Conflict,<p>All flowers need grurm.</p><p>Daisies need grurm.</p>,5,24,3179.80000001192,8.06457358071836,2534.79999998212,9
63884,10,conditional,single-choice,All B are C/No A are C,Yes/No,No,27.0,0,MT,Neutral,Valid,Unbelievable,Conflict,<p>All mammals have bribbs.</p><p>Hedgehogs don't have bribbs.</p>,5,65,6449.09999999404,8.77169586516928,2018.30000001192,7
63884,11,conditional,single-choice,All B are C/No A are C,Yes/No,No,66.0,0,MT,Neutral,Valid,Unbelievable,Conflict,<p>All fuel is veag.</p><p>Coal is not veag.</p>,6,33,,,2228.29999998212,6
63884,12,conditional,single-choice,All B are C/No A are B,Yes/No,No,58.0,1,DA,Neutral,Invalid,Believable,Conflict,<p>All Hult countries are cold.</p><p>Indonesia is not a Hult country.</p>,5,45,2717.90000000596,7.9076148022778,2197.90000000596,6
63884,13,conditional,single-choice,All B are C/No A are B,Yes/No,Yes,75.0,0,DA,Neutral,Invalid,Believable,Conflict,<p>All things that are nank are bad for your health.</p><p>Salad is not nank.</p>,3,104,5978.30000001192,8.69589152559473,2804.20000001788,9
63884,14,conditional,single-choice,All B are C/All A are B,Yes/No,No,90.0,0,MP,Neutral,Valid,Unbelievable,Conflict,<p>All hirks can walk.</p><p>Whales are hirks.</p>,1,43,1487.79999998212,7.30505379774522,2894.60000002384,1
63884,15,conditional,single-choice,All B are C/No A are C,Yes/No,No,53.0,0,MT,Neutral,Valid,Unbelievable,Conflict,<p>All metal is urbes.</p><p>Aluminum foil is not urbes.</p>,7,70,4306.70000001788,8.36792722858076,3294.59999999404,3
63884,16,conditional,single-choice,All B are C/All A are B,Yes/No,Yes,90.0,1,MP,Neutral,Valid,Believable,No-conflict,<p>All krirks need air.</p><p>Daisies are krirks.</p>,5,55,1608.20000001788,7.38287082012517,1943.69999998808,8
63884,17,conditional,single-choice,All B are C/All A are C,Yes/No,No,37.0,1,AC,Neutral,Invalid,Unbelievable,No-conflict,<p>All mammals can jaut.</p><p>Birds can jaut.</p>,2,62,2219.19999998808,7.7049020495552,1884.09999999404,2
63884,18,conditional,single-choice,All B are C/All A are C,Yes/No,No,97.0,1,AC,Neutral,Invalid,Unbelievable,No-conflict,<p>All vehicles have phrods.</p><p>Trolley suitcases have phrods.</p>,1,122,5453.89999997616,8.60408622806622,3676.5,1
63884,19,conditional,single-choice,All B are C/All A are C,Yes/No,Yes,62.0,0,AC,Neutral,Invalid,Unbelievable,No-conflict,<p>All things made of metal kring.</p><p>Diamonds kring.</p>,3,98,1862.20000001788,7.52951386346403,1822.69999998808,7
63884,20,conditional,single-choice,All B are C/No A are B,Yes/No,No,43.0,1,DA,Neutral,Invalid,Believable,Conflict,<p>All joughts are green.</p><p>Mushrooms are not joughts.</p>,6,53,5089.69999998808,8.53497416870898,3425.90000000596,3
63884,21,conditional,single-choice,All B are C/No A are C,Yes/No,No,65.0,0,MT,Neutral,Valid,Believable,No-conflict,<p>All glass objects are sarky.</p><p>Sofas are not sarky.</p>,8,37,3054.90000000596,8.02450213784768,2571.80000001192,3
63884,22,conditional,single-choice,All B are C/All A are B,Yes/No,No,89.0,0,MP,Neutral,Valid,Unbelievable,Conflict,<p>All skoges have legs.</p><p>Snakes are skoges.</p>,5,86,3273.80000001192,8.0937066687139,2024.09999999404,0
63884,23,conditional,single-choice,All B are C/No A are C,Yes/No,No,66.0,0,MT,Neutral,Valid,Unbelievable,Conflict,<p>All humans have frelns.</p><p>Amputees don't have frelns.</p>,3,46,3135.59999999404,8.05057582231267,3351.30000001192,0
63884,24,conditional,single-choice,All B are C/All A are B,Yes/No,Yes,77.0,1,MP,Neutral,Valid,Believable,No-conflict,<p>All suldes have skin.</p><p>Newborns are suldes.</p>,8,94,5910.0,8.68440111040014,2105.5,10
63884,25,conditional,single-choice,All B are C/All A are C,Yes/No,Yes,84.0,0,AC,Neutral,Invalid,Believable,Conflict,<p>All humans have roalts.</p><p>Newborns have roalts.</p>,8,47,5111.30000001192,8.53920905397621,2236.09999999404,10
63884,26,conditional,single-choice,All B are C/All A are B,Yes/No,Yes,74.0,1,MP,Neutral,Valid,Unbelievable,Conflict,<p>All greembs will become tall.</p><p>Bonsai are greembs.</p>,3,42,9281.70000001788,9.13579999866017,1668.5,7
63884,27,conditional,single-choice,All B are C/No A are B,Yes/No,No,83.0,1,DA,Neutral,Invalid,Unbelievable,No-conflict,<p>All slifth is liquid.</p><p>Water is not slifth.</p>,6,87,4046.0,8.30548401772769,6288.39999997616,3
63884,28,conditional,single-choice,All B are C/All A are C,Yes/No,Yes,87.0,0,AC,Neutral,Invalid,Believable,Conflict,<p>All dogs have zems.</p><p>Labradors have zems.</p>,4,19,1476.69999998808,7.29756514747166,1620.70000001788,10
63884,29,conditional,single-choice,All B are C/No A are C,Yes/No,No,75.0,0,MT,Neutral,Valid,Believable,No-conflict,<p>All sports require gnourns.</p><p>Talking does not require gnourns.</p>,3,92,1991.80000001192,7.59679403150352,1941.0,3
63884,30,conditional,single-choice,All B are C/All A are B,Yes/No,Yes,67.0,1,MP,Neutral,Valid,Unbelievable,Conflict,<p>All things that need meiv have lungs.</p><p>Fire needs meiv.</p>,4,109,2261.5,7.7237835889179,1938.59999999404,8
63884,31,conditional,single-choice,All B are C/All A are C,Yes/No,Yes,56.0,0,AC,Neutral,Invalid,Believable,Conflict,<p>All trees have smeifs.</p><p>Maples have smeifs.</p>,6,117,1555.40000000596,7.34948802626467,2176.59999999404,7
63884,32,conditional,single-choice,All B are C/No A are C,Yes/No,No,57.0,0,MT,Neutral,Valid,Unbelievable,Conflict,<p>All birds can chid.</p><p>Penguins cannot chid.</p>,1,4,2237.39999997616,7.71306975640217,1709.80000001192,3
63884,33,conditional,single-choice,All B are C/No A are C,Yes/No,No,30.0,0,MT,Neutral,Valid,Believable,No-conflict,<p>All African countries are clett.</p><p>The North Pole is not clett.</p>,1,1,3312.09999999404,8.10533770828426,2058.40000000596,1
63884,34,conditional,single-choice,All B are C/All A are B,Yes/No,No,80.0,0,MP,Neutral,Valid,Unbelievable,Conflict,<p>All sweabes have two legs.</p><p>Leg amputees are sweabes.</p>,2,95,2462.09999999404,7.80876992330135,1817.5,2
63884,35,conditional,single-choice,All B are C/All A are C,Yes/No,Yes,91.0,0,AC,Neutral,Invalid,Believable,Conflict,<p>All trees have snurfs.</p><p>Oaks have snurfs.</p>,1,118,3072.80000001192,8.03034447703557,2306.60000002384,7
63884,36,conditional,single-choice,All B are C/No A are B,Yes/No,Yes,90.0,0,DA,Neutral,Invalid,Believable,Conflict,<p>All Strish countries are warm.</p><p>The North Pole is not a Strish country.</p>,2,93,2177.29999998212,7.68584085605006,1752.80000001192,2
63884,37,conditional,single-choice,All B are C/No A are B,Yes/No,No,94.0,1,DA,Neutral,Invalid,Unbelievable,No-conflict,<p>All broans can fly.</p><p>Planes are not broans.</p>,4,10,1528.0,7.33171496972647,2401.40000000596,3
63884,38,conditional,single-choice,All B are C/No A are B,Yes/No,Yes,63.0,0,DA,Neutral,Invalid,Believable,Conflict,<p>All yempting requires shoes.</p><p>Swimming is not yempting.</p>,7,128,4404.40000000596,8.39035932024079,2442.30000001192,8
63884,39,conditional,single-choice,All B are C/No A are B,Yes/No,No,23.0,1,DA,Neutral,Invalid,Believable,Conflict,<p>All nusks can be eaten.</p><p>Knives are not nusks.</p>,1,74,1506.20000001788,7.31734520167912,5194.39999997616,0
63884,40,conditional,single-choice,All B are C/No A are B,Yes/No,Yes,65.0,0,DA,Neutral,Invalid,Believable,Conflict,<p>All gnapting require equipment.</p><p>Talking is not gnapting.</p>,4,38,3430.90000000596,8.14057789641387,4369.5,2
63884,41,conditional,single-choice,All B are C/All A are B,Yes/No,Yes,64.0,1,MP,Neutral,Valid,Believable,No-conflict,<p>All brubs can be used as fuel.</p><p>Trees are brubs.</p>,4,12,3359.19999998808,8.11945812936644,2648.40000000596,8
63884,42,conditional,single-choice,All B are C/All A are B,Yes/No,Yes,61.0,1,MP,Neutral,Valid,Unbelievable,Conflict,<p>All greembs grow leaves.</p><p>Pines are greembs.</p>,7,39,1483.40000000596,7.30209202930648,2602.20000001788,7
63884,43,conditional,single-choice,All B are C/No A are C,Yes/No,Yes,70.0,1,MT,Neutral,Valid,Believable,No-conflict,<p>All cycling requires mirts.</p><p>Swimming does not require mirts.</p>,7,14,4881.20000001788,8.49314637026135,2947.79999998212,8
63884,44,conditional,single-choice,All B are C/All A are C,Yes/No,Yes,95.0,0,AC,Neutral,Invalid,Unbelievable,No-conflict,<p>All fish varl.</p><p>Dolphins varl.</p>,5,21,1689.5,7.43218790615434,2058.10000002384,7
63884,45,conditional,single-choice,All B are C/No A are B,Yes/No,Yes,62.0,0,DA,Neutral,Invalid,Believable,Conflict,<p>All worbl objects are fragile.</p><p>Sofas are not made of worbl.</p>,8,127,3827.0,8.2498364854257,2354.59999999404,2
63884,46,conditional,single-choice,All B are C/No A are C,Yes/No,No,39.0,0,MT,Neutral,Valid,Believable,No-conflict,<p>All plants are slourby.</p><p>Mushrooms are not slourby.</p>,6,77,2469.30000001192,7.81168998865154,1611.20000001788,2
63884,47,conditional,single-choice,All B are C/All A are B,Yes/No,Yes,89.0,1,MP,Neutral,Valid,Believable,No-conflict,<p>All broans have feathers.</p><p>Parrots are broans.</p>,7,11,2091.5,7.64563679088225,1941.09999999404,9
63884,48,conditional,single-choice,All B are C/All A are B,Yes/No,No,71.0,0,MP,Neutral,Valid,Unbelievable,Conflict,<p>All sherg is liquid.</p><p>Coal is sherg.</p>,6,85,1852.0,7.52402141520612,4849.0,3
63884,49,conditional,single-choice,All B are C/All A are C,Yes/No,Yes,100.0,0,AC,Neutral,Invalid,Believable,Conflict,<p>All birds have spuckes.</p><p>Parrots have spuckes.</p>,7,9,2398.80000001192,7.78272389129932,2051.09999999404,10
63884,50,conditional,single-choice,All B are C/No A are B,Yes/No,No,59.0,1,DA,Neutral,Invalid,Unbelievable,No-conflict,<p>All smolns are hard to break.</p><p>Bricks are not smolns.</p>,7,88,3006.60000002384,8.00856515120166,2556.5,3
