id,sequence,domain,response_type,task,choices,response,task_type,response_int,response_ref,correct_int,correct_ref,for_int,for_ref,rt_int,rt_ref,validity,believability,conflict,response_changed,accuracy_gain,for_change,rt_change,condition,stimulus,qnum,total_qnum
69594,57,conditional,single-choice,All B are C/All A are C,Yes/No,No,AC,No,No,1,1,96.0,94.0,2603.30000019073,783.399999856949,0,0,0,0,0,-2.0,-1819.900000333781,A,<p>All mammals can walk.</p><p>Lizards can walk.</p>,2,66
69594,58,conditional,single-choice,All B are C/No A are B,Yes/No,Yes,DA,Yes,No,0,1,83.0,96.0,5013.80000019073,1939.5,0,1,1,1,1,13.0,-3074.3000001907303,A,<p>All joughts are green.</p><p>Mushrooms are not joughts.</p>,6,56
69594,59,conditional,single-choice,All B are C/All A are B,Yes/No,Yes,MP,Yes,No,1,0,80.0,18.0,6662.0,3303.70000004768,1,0,1,1,-1,-62.0,-3358.29999995232,A,<p>All humans have two legs.</p><p>Leg amputees are human.</p>,2,53
69594,60,conditional,single-choice,All B are C/No A are C,Yes/No,Yes,MT,Yes,Yes,1,1,90.0,100.0,2364.39999985695,4527.29999995232,1,0,1,0,0,10.0,2162.9000000953697,A,<p>All fuel is veag.</p><p>Coal is not veag.</p>,6,36
69594,61,conditional,single-choice,All B are C/All A are C,Yes/No,Yes,AC,Yes,No,0,1,82.0,93.0,3547.89999985695,3873.40000009537,0,1,1,1,1,11.0,325.50000023841994,A,<p>All trees have smeifs.</p><p>Maples have smeifs.</p>,6,118
69594,62,conditional,single-choice,All B are C/No A are C,Yes/No,Yes,MT,Yes,Yes,1,1,93.0,100.0,3691.09999990463,5358.60000014305,1,1,0,0,0,7.0,1667.5000002384204,A,<p>All things that are smoked are bad for your heath.</p><p>Salad is not bad for your health.</p>,4,108
69594,63,conditional,single-choice,All B are C/No A are C,Yes/No,No,MT,No,No,0,0,94.0,99.0,3798.90000009537,1813.70000004768,1,1,0,0,0,5.0,-1985.20000004769,A,<p>All African countries are warm.</p><p>The North Pole is not warm.</p>,1,3
69594,64,conditional,single-choice,All B are C/All A are C,Yes/No,No,AC,No,No,1,1,95.0,100.0,3645.0,5112.0,0,1,1,0,0,5.0,1467.0,A,<p>All humans have roalts.</p><p>Newborns have roalts.</p>,8,50
69600,1,conditional,single-choice,All B are C/No A are B,Yes/No,Yes,DA,Yes,No,0,1,39.0,67.0,4981.80000001192,23237.3999999911,0,0,0,1,1,28.0,18255.59999997918,A,<p>All slifth is liquid.</p><p>Water is not slifth.</p>,6,89
69600,2,conditional,single-choice,All B are C/All A are C,Yes/No,No,AC,No,No,1,1,59.0,68.0,4264.60000000894,8456.59999999404,0,1,1,0,0,9.0,4191.9999999851,A,<p>All dogs have snouts.</p><p>Labradors have snouts.</p>,4,20
69600,3,conditional,single-choice,All B are C/No A are B,Yes/No,No,DA,No,No,1,1,56.0,65.0,5575.79999999702,12831.3999999911,0,1,1,0,0,9.0,7255.59999999408,A,<p>All things that are smoked are bad for your health.</p><p>Salad is not smoked.</p>,3,107
69600,4,conditional,single-choice,All B are C/No A are C,Yes/No,Yes,MT,Yes,Yes,1,1,73.0,87.0,5066.09999999404,9357.90000000596,1,0,1,0,0,14.0,4291.80000001192,A,<p>All metals are solid.</p><p>Mercury is not solid.</p>,2,76
69600,5,conditional,single-choice,All B are C/All A are B,Yes/No,Yes,MP,Yes,Yes,1,1,92.0,100.0,2839.90000000596,3813.90000000596,1,0,1,0,0,8.0,974.0,A,<p>All greembs are sweet.</p><p>Lemon is a greemb.</p>,7,42
69600,6,conditional,single-choice,All B are C/No A are C,Yes/No,No,MT,No,Yes,0,1,72.0,73.0,3865.60000000894,9428.70000000298,1,1,0,1,1,1.0,5563.09999999404,A,<p>All African countries are warm.</p><p>The North Pole is not warm.</p>,1,3
69600,7,conditional,single-choice,All B are C/All A are C,Yes/No,No,AC,No,No,1,1,77.0,85.0,4154.0,9169.20000000298,0,0,0,0,0,8.0,5015.20000000298,A,<p>All fish varl.</p><p>Turtles varl.</p>,5,23
69600,8,conditional,single-choice,All B are C/No A are C,Yes/No,Yes,MT,Yes,Yes,1,1,45.0,76.0,4534.29999999702,11298.099999994,1,1,0,0,0,31.0,6763.79999999698,A,<p>All glass objects are sarky.</p><p>Sofas are not sarky.</p>,8,40
69600,9,conditional,single-choice,All B are C/All A are B,Yes/No,Yes,MP,Yes,Yes,1,1,84.0,97.0,3036.0,3557.79999999702,1,0,1,0,0,13.0,521.7999999970202,A,<p>All jilms are sour.</p><p>Mandarins are jilms.</p>,8,55
69600,10,conditional,single-choice,All B are C/All A are C,Yes/No,No,AC,No,Yes,1,0,71.0,43.0,4882.20000000298,8946.59999999404,0,1,1,1,-1,-28.0,4064.3999999910593,A,<p>All trees have roots.</p><p>Oaks have roots.</p>,1,117
69600,11,conditional,single-choice,All B are C/No A are C,Yes/No,No,MT,No,Yes,0,1,72.0,71.0,5193.59999999404,17750.700000003,1,1,0,1,1,-1.0,12557.100000008959,A,<p>All things that are smoked are bad for your heath.</p><p>Salad is not bad for your health.</p>,4,108
69600,12,conditional,single-choice,All B are C/All A are C,Yes/No,No,AC,No,No,1,1,71.0,87.0,4560.79999999702,8027.39999999106,0,1,1,0,0,16.0,3466.5999999940404,A,<p>All trees have smeifs.</p><p>Maples have smeifs.</p>,6,118
69600,13,conditional,single-choice,All B are C/All A are C,Yes/No,No,AC,No,No,1,1,74.0,83.0,4439.0,9477.29999999702,0,1,1,0,0,9.0,5038.29999999702,A,<p>All flowers need water.</p><p>Roses need water.</p>,2,29
69600,14,conditional,single-choice,All B are C/No A are C,Yes/No,Yes,MT,Yes,Yes,1,1,80.0,100.0,3739.40000000596,4665.90000000596,1,0,1,0,0,20.0,926.4999999999995,A,<p>All birds can fly.</p><p>Penguins cannot fly.</p>,1,7
69600,15,conditional,single-choice,All B are C/All A are B,Yes/No,Yes,MP,Yes,Yes,1,1,74.0,83.0,4647.0,7964.90000000596,1,0,1,0,0,9.0,3317.9000000059596,A,<p>All sherg is liquid.</p><p>Coal is sherg.</p>,6,87
69600,16,conditional,single-choice,All B are C/No A are C,Yes/No,No,MT,No,Yes,0,1,37.0,64.0,5889.20000000298,7983.40000000596,1,1,0,1,1,27.0,2094.2000000029793,A,<p>All fruits can be eaten.</p><p>Knives cannot be eaten.</p>,2,32
69600,17,conditional,single-choice,All B are C/No A are C,Yes/No,Yes,MT,Yes,Yes,1,1,76.0,64.0,5179.0,7401.29999999702,1,0,1,0,0,-12.0,2222.2999999970198,A,<p>All metal is urbes.</p><p>Aluminum foil is not urbes.</p>,7,73
69600,18,conditional,single-choice,All B are C/No A are B,Yes/No,No,DA,No,No,1,1,72.0,69.0,5158.70000000298,7841.29999999702,0,0,0,0,0,-3.0,2682.5999999940395,A,<p>All vehicles have wheels.</p><p>Trolley suitcases are not vehicles.</p>,2,123
69600,19,conditional,single-choice,All B are C/No A are B,Yes/No,No,DA,No,No,1,1,72.0,72.0,5854.70000000298,12145.299999997,0,1,1,0,0,0.0,6290.5999999940195,A,<p>All fruits can be eaten.</p><p>Knives are not fruits.</p>,1,31
69600,20,conditional,single-choice,All B are C/All A are B,Yes/No,Yes,MP,Yes,Yes,1,1,100.0,100.0,2853.10000000894,2422.29999999702,1,1,0,0,0,0.0,-430.80000001191956,A,<p>All broans have feathers.</p><p>Parrots are broans.</p>,7,13
69600,21,conditional,single-choice,All B are C/All A are B,Yes/No,Yes,MP,Yes,Yes,1,1,70.0,85.0,4832.89999999106,5085.29999999702,1,0,1,0,0,15.0,252.40000000595955,A,<p>All humans have two legs.</p><p>Leg amputees are human.</p>,2,53
69600,22,conditional,single-choice,All B are C/All A are C,Yes/No,No,AC,No,No,1,1,80.0,78.0,3477.79999999702,18386.700000003,0,0,0,0,0,-2.0,14908.900000005979,A,<p>All mammals can walk.</p><p>Lizards can walk.</p>,2,66
69600,23,conditional,single-choice,All B are C/No A are C,Yes/No,Yes,MT,Yes,Yes,1,1,75.0,78.0,5398.29999999702,5639.39999999106,1,0,1,0,0,3.0,241.09999999404045,A,<p>All mammals have bribbs.</p><p>Hedgehogs don't have bribbs.</p>,5,68
69600,24,conditional,single-choice,All B are C/All A are C,Yes/No,No,AC,No,No,1,1,75.0,83.0,5852.40000000596,8739.70000000298,0,0,0,0,0,8.0,2887.2999999970207,A,<p>All lava is rhully.</p><p>Water is rhully.</p>,7,62
69600,25,conditional,single-choice,All B are C/No A are B,Yes/No,No,DA,No,No,1,1,82.0,79.0,5577.5,5687.10000000894,0,1,1,0,0,-3.0,109.60000000893979,A,<p>All sports require equipment.</p><p>Talking is not a sport.</p>,4,93
69600,26,conditional,single-choice,All B are C/All A are B,Yes/No,Yes,MP,Yes,Yes,1,1,90.0,88.0,3907.79999999702,6105.90000000596,1,1,0,0,0,-2.0,2198.1000000089393,A,<p>All flowers need water.</p><p>Roses are flowers.</p>,1,28
69600,27,conditional,single-choice,All B are C/No A are C,Yes/No,Yes,MT,Yes,Yes,1,1,87.0,96.0,5486.90000000596,5259.10000000894,1,1,0,0,0,9.0,-227.79999999701977,A,<p>All sports require equipment.</p><p>Talking does not require equipment.</p>,3,92
69600,28,conditional,single-choice,All B are C/No A are C,Yes/No,Yes,MT,Yes,Yes,1,1,86.0,98.0,3465.0,2171.09999999404,1,0,1,0,0,12.0,-1293.90000000596,A,<p>All fuel is veag.</p><p>Coal is not veag.</p>,6,36
69600,29,conditional,single-choice,All B are C/No A are B,Yes/No,Yes,DA,Yes,No,0,1,58.0,59.0,5581.5,12187.1999999881,0,0,0,1,1,1.0,6605.699999988101,A,<p>All things that need oxygen have lungs.</p><p>Dead people don't need oxygen.</p>,3,112
69600,30,conditional,single-choice,All B are C/No A are C,Yes/No,Yes,MT,Yes,Yes,1,1,74.0,74.0,4438.29999999702,15522.799999997,1,0,1,0,0,0.0,11084.49999999998,A,<p>All things made of metal shine.</p><p>Old pennies don't shine</p>,4,102
69600,31,conditional,single-choice,All B are C/No A are B,Yes/No,No,DA,No,No,1,1,45.0,65.0,4848.39999999106,7348.39999999106,0,0,0,0,0,20.0,2500.0,A,<p>All hirks have teeth.</p><p>Sharks are not hirks.</p>,5,47
69600,32,conditional,single-choice,All B are C/No A are B,Yes/No,No,DA,No,No,1,1,76.0,87.0,5546.09999999404,10313.799999997,0,0,0,0,0,11.0,4767.700000002959,A,<p>All metals are solid.</p><p>Ceramic is not a metal.</p>,1,75
69600,33,conditional,single-choice,All B are C/No A are B,Yes/No,No,DA,No,No,1,1,79.0,87.0,5382.20000000298,3352.20000000298,0,1,1,0,0,8.0,-2030.0000000000005,A,<p>All worbl objects are fragile.</p><p>Hammers are not made of worbl.</p>,8,127
69600,34,conditional,single-choice,All B are C/No A are B,Yes/No,No,DA,No,No,1,1,69.0,81.0,4931.80000001192,7056.29999999702,0,0,0,0,0,12.0,2124.4999999850997,A,<p>All birds can fly.</p><p>Planes are not birds.</p>,4,8
69600,35,conditional,single-choice,All B are C/All A are B,Yes/No,Yes,MP,Yes,Yes,1,1,100.0,100.0,2724.59999999404,4111.0,1,1,0,0,0,0.0,1386.40000000596,A,<p>All dogs have snouts.</p><p>Labradors are dogs.</p>,3,19
69600,36,conditional,single-choice,All B are C/All A are B,Yes/No,Yes,MP,Yes,Yes,1,1,100.0,100.0,2116.79999999702,745.40000000596,1,1,0,0,0,0.0,-1371.3999999910602,A,<p>All trees have roots.</p><p>Oaks are trees.</p>,2,116
69600,37,conditional,single-choice,All B are C/All A are C,Yes/No,No,AC,No,No,1,1,78.0,96.0,6016.89999999106,8178.89999999106,0,1,1,0,0,18.0,2162.0,A,<p>All birds have spuckes.</p><p>Parrots have spuckes.</p>,7,11
69600,38,conditional,single-choice,All B are C/All A are C,Yes/No,No,AC,No,No,1,1,94.0,91.0,3690.70000000298,735.5,0,0,0,0,0,-3.0,-2955.20000000298,A,<p>All vehicles have wheels.</p><p>Trolley suitcases have wheels.</p>,1,124
69600,39,conditional,single-choice,All B are C/No A are C,Yes/No,Yes,MT,Yes,Yes,1,1,61.0,79.0,5386.59999999404,7722.90000000596,1,1,0,0,0,18.0,2336.300000011919,A,<p>All Scandinavian countries are volmy.</p><p>Indonesia is not volmy.</p>,5,86
69600,40,conditional,single-choice,All B are C/No A are B,Yes/No,No,DA,No,No,1,1,68.0,77.0,4723.29999999702,4765.29999999702,0,0,0,0,0,9.0,42.0,A,<p>All joughts are green.</p><p>Solar panels are not joughts.</p>,8,57
69600,41,conditional,single-choice,All B are C/All A are B,Yes/No,Yes,MP,Yes,Yes,1,1,78.0,93.0,2879.79999999702,1885.90000000596,1,1,0,0,0,15.0,-993.8999999910602,A,<p>All krirks need air.</p><p>Daisies are krirks.</p>,5,58
69600,42,conditional,single-choice,All B are C/All A are B,Yes/No,Yes,MP,Yes,Yes,1,1,81.0,94.0,3867.0,3089.70000000298,1,0,1,0,0,13.0,-777.2999999970202,A,<p>All things that need oxygen have lungs.</p><p>Fire needs oxygen.</p>,4,113
69600,43,conditional,single-choice,All B are C/No A are B,Yes/No,No,DA,No,No,1,1,45.0,71.0,4355.79999999702,4896.90000000596,0,1,1,0,0,26.0,541.1000000089398,A,<p>All African countries are warm.</p><p>The North Pole is not an African country.</p>,2,2
