subject_id,sequence,item_id,task_type,task_formal,model_task_index,model_premise_1,model_premise_2,number_models_generated,model_merge_status,model_premises_match
63873,55,91,DA,All B are C/No A are B,4,All B are C,No A are B,2.5,both,True
63873,56,102,AC,All B are C/All A are C,3,All B are C,All A are C,2.2,both,True
63873,57,32,MT,All B are C/No A are C,1,All B are C,No A are C,2.0,both,True
63873,58,123,DA,All B are C/No A are B,4,All B are C,No A are B,2.5,both,True
63873,59,114,AC,All B are C/All A are C,3,All B are C,All A are C,2.2,both,True
63873,60,124,AC,All B are C/All A are C,3,All B are C,All A are C,2.2,both,True
63873,61,48,MP,All B are C/All A are B,2,All B are C,All A are B,2.15,both,True
63873,62,72,DA,All B are C/No A are B,4,All B are C,No A are B,2.5,both,True
63873,63,106,MT,All B are C/No A are C,1,All B are C,No A are C,2.0,both,True
63873,64,80,AC,All B are C/All A are C,3,All B are C,All A are C,2.2,both,True
63884,1,89,DA,All B are C/No A are B,4,All B are C,No A are B,4.2,both,True
63884,2,40,MP,All B are C/All A are B,2,All B are C,All A are B,2.3,both,True
63884,3,84,MT,All B are C/No A are C,1,All B are C,No A are C,2.0,both,True
63884,4,54,DA,All B are C/No A are B,4,All B are C,No A are B,4.2,both,True
63884,5,126,MT,All B are C/No A are C,1,All B are C,No A are C,2.0,both,True
63884,6,78,AC,All B are C/All A are C,3,All B are C,All A are C,2.45,both,True
63884,7,25,AC,All B are C/All A are C,3,All B are C,All A are C,2.45,both,True
63884,8,96,DA,All B are C/No A are B,4,All B are C,No A are B,4.2,both,True
63884,9,24,AC,All B are C/All A are C,3,All B are C,All A are C,2.45,both,True
63884,10,65,MT,All B are C/No A are C,1,All B are C,No A are C,2.0,both,True
63884,11,33,MT,All B are C/No A are C,1,All B are C,No A are C,2.0,both,True
63884,12,45,DA,All B are C/No A are B,4,All B are C,No A are B,4.2,both,True
63884,13,104,DA,All B are C/No A are B,4,All B are C,No A are B,4.2,both,True
63884,14,43,MP,All B are C/All A are B,2,All B are C,All A are B,2.3,both,True
63884,15,70,MT,All B are C/No A are C,1,All B are C,No A are C,2.0,both,True
63884,16,55,MP,All B are C/All A are B,2,All B are C,All A are B,2.3,both,True
63884,17,62,AC,All B are C/All A are C,3,All B are C,All A are C,2.45,both,True
63884,18,122,AC,All B are C/All A are C,3,All B are C,All A are C,2.45,both,True
63884,19,98,AC,All B are C/All A are C,3,All B are C,All A are C,2.45,both,True
63884,20,53,DA,All B are C/No A are B,4,All B are C,No A are B,4.2,both,True
63884,21,37,MT,All B are C/No A are C,1,All B are C,No A are C,2.0,both,True
63884,22,86,MP,All B are C/All A are B,2,All B are C,All A are B,2.3,both,True
63884,23,46,MT,All B are C/No A are C,1,All B are C,No A are C,2.0,both,True
63884,24,94,MP,All B are C/All A are B,2,All B are C,All A are B,2.3,both,True
63884,25,47,AC,All B are C/All A are C,3,All B are C,All A are C,2.45,both,True
63884,26,42,MP,All B are C/All A are B,2,All B are C,All A are B,2.3,both,True
63884,27,87,DA,All B are C/No A are B,4,All B are C,No A are B,4.2,both,True
63884,28,19,AC,All B are C/All A are C,3,All B are C,All A are C,2.45,both,True
63884,29,92,MT,All B are C/No A are C,1,All B are C,No A are C,2.0,both,True
63884,30,109,MP,All B are C/All A are B,2,All B are C,All A are B,2.3,both,True
63884,31,117,AC,All B are C/All A are C,3,All B are C,All A are C,2.45,both,True
63884,32,4,MT,All B are C/No A are C,1,All B are C,No A are C,2.0,both,True
63884,33,1,MT,All B are C/No A are C,1,All B are C,No A are C,2.0,both,True
63884,34,95,MP,All B are C/All A are B,2,All B are C,All A are B,2.3,both,True
63884,35,118,AC,All B are C/All A are C,3,All B are C,All A are C,2.45,both,True
63884,36,93,DA,All B are C/No A are B,4,All B are C,No A are B,4.2,both,True
63884,37,10,DA,All B are C/No A are B,4,All B are C,No A are B,4.2,both,True
63884,38,128,DA,All B are C/No A are B,4,All B are C,No A are B,4.2,both,True
63884,39,74,DA,All B are C/No A are B,4,All B are C,No A are B,4.2,both,True
63884,40,38,DA,All B are C/No A are B,4,All B are C,No A are B,4.2,both,True
63884,41,12,MP,All B are C/All A are B,2,All B are C,All A are B,2.3,both,True
63884,42,39,MP,All B are C/All A are B,2,All B are C,All A are B,2.3,both,True
63884,43,14,MT,All B are C/No A are C,1,All B are C,No A are C,2.0,both,True
63884,44,21,AC,All B are C/All A are C,3,All B are C,All A are C,2.45,both,True
63884,45,127,DA,All B are C/No A are B,4,All B are C,No A are B,4.2,both,True
63884,46,77,MT,All B are C/No A are C,1,All B are C,No A are C,2.0,both,True
63884,47,11,MP,All B are C/All A are B,2,All B are C,All A are B,2.3,both,True
63884,48,85,MP,All B are C/All A are B,2,All B are C,All A are B,2.3,both,True
63884,49,9,AC,All B are C/All A are C,3,All B are C,All A are C,2.45,both,True
63884,50,88,DA,All B are C/No A are B,4,All B are C,No A are B,4.2,both,True
63884,51,52,MP,All B are C/All A are B,2,All B are C,All A are B,2.3,both,True
63884,52,34,MP,All B are C/All A are B,2,All B are C,All A are B,2.3,both,True
63884,53,44,DA,All B are C/No A are B,4,All B are C,No A are B,4.2,both,True
63884,54,108,DA,All B are C/No A are B,4,All B are C,No A are B,4.2,both,True
63884,55,71,MT,All B are C/No A are C,1,All B are C,No A are C,2.0,both,True
63884,56,119,AC,All B are C/All A are C,3,All B are C,All A are C,2.45,both,True
63884,57,107,MT,All B are C/No A are C,1,All B are C,No A are C,2.0,both,True
63884,58,59,AC,All B are C/All A are C,3,All B are C,All A are C,2.45,both,True
63884,59,30,MT,All B are C/No A are C,1,All B are C,No A are C,2.0,both,True
63884,60,56,MP,All B are C/All A are B,2,All B are C,All A are B,2.3,both,True
63884,61,103,AC,All B are C/All A are C,3,All B are C,All A are C,2.45,both,True
63884,62,41,MP,All B are C/All A are B,2,All B are C,All A are B,2.3,both,True
63884,63,97,MT,All B are C/No A are C,1,All B are C,No A are C,2.0,both,True
63884,64,61,AC,All B are C/All A are C,3,All B are C,All A are C,2.45,both,True
63885,1,15,MT,All B are C/No A are C,1,All B are C,No A are C,2.0,both,True
63885,2,113,MP,All B are C/All A are B,2,All B are C,All A are B,2.75,both,True
63885,3,3,MT,All B are C/No A are C,1,All B are C,No A are C,2.0,both,True
63885,4,23,AC,All B are C/All A are C,3,All B are C,All A are C,2.85,both,True
63885,5,83,MT,All B are C/No A are C,1,All B are C,No A are C,2.0,both,True
63885,6,50,MP,All B are C/All A are B,2,All B are C,All A are B,2.75,both,True
63885,7,67,DA,All B are C/No A are B,4,All B are C,No A are B,6.65,both,True
63885,8,99,AC,All B are C/All A are C,3,All B are C,All A are C,2.85,both,True
63885,9,73,MT,All B are C/No A are C,1,All B are C,No A are C,2.0,both,True
63885,10,66,MT,All B are C/No A are C,1,All B are C,No A are C,2.0,both,True
63885,11,75,DA,All B are C/No A are B,4,All B are C,No A are B,6.65,both,True
63885,12,81,MP,All B are C/All A are B,2,All B are C,All A are B,2.75,both,True
63885,13,6,DA,All B are C/No A are B,4,All B are C,No A are B,6.65,both,True
63885,14,100,MT,All B are C/No A are C,1,All B are C,No A are C,2.0,both,True
63885,15,5,MT,All B are C/No A are C,1,All B are C,No A are C,2.0,both,True
63885,16,68,MT,All B are C/No A are C,1,All B are C,No A are C,2.0,both,True
63885,17,111,MP,All B are C/All A are B,2,All B are C,All A are B,2.75,both,True
63885,18,120,MP,All B are C/All A are B,2,All B are C,All A are B,2.75,both,True
63885,19,79,DA,All B are C/No A are B,4,All B are C,No A are B,6.65,both,True
63885,20,80,AC,All B are C/All A are C,3,All B are C,All A are C,2.85,both,True
63885,21,17,MP,All B are C/All A are B,2,All B are C,All A are B,2.75,both,True
63885,22,121,AC,All B are C/All A are C,3,All B are C,All A are C,2.85,both,True
63885,23,51,MT,All B are C/No A are C,1,All B are C,No A are C,2.0,both,True
63885,24,90,MT,All B are C/No A are C,1,All B are C,No A are C,2.0,both,True
63885,25,27,AC,All B are C/All A are C,3,All B are C,All A are C,2.85,both,True
63885,26,82,DA,All B are C/No A are B,4,All B are C,No A are B,6.65,both,True
63885,27,35,MT,All B are C/No A are C,1,All B are C,No A are C,2.0,both,True
63885,28,60,AC,All B are C/All A are C,3,All B are C,All A are C,2.85,both,True
63885,29,13,MP,All B are C/All A are B,2,All B are C,All A are B,2.75,both,True
63885,30,76,MT,All B are C/No A are C,1,All B are C,No A are C,2.0,both,True
63885,31,64,MP,All B are C/All A are B,2,All B are C,All A are B,2.75,both,True
63885,32,29,MT,All B are C/No A are C,1,All B are C,No A are C,2.0,both,True
63885,33,102,AC,All B are C/All A are C,3,All B are C,All A are C,2.85,both,True
63885,34,106,MT,All B are C/No A are C,1,All B are C,No A are C,2.0,both,True
63885,35,123,DA,All B are C/No A are B,4,All B are C,No A are B,6.65,both,True
63885,36,48,MP,All B are C/All A are B,2,All B are C,All A are B,2.75,both,True
63885,37,36,DA,All B are C/No A are B,4,All B are C,No A are B,6.65,both,True
63885,38,112,MP,All B are C/All A are B,2,All B are C,All A are B,2.75,both,True
63885,39,115,MP,All B are C/All A are B,2,All B are C,All A are B,2.75,both,True
63885,40,110,DA,All B are C/No A are B,4,All B are C,No A are B,6.65,both,True
63885,41,58,DA,All B are C/No A are B,4,All B are C,No A are B,6.65,both,True
63885,42,28,DA,All B are C/No A are B,4,All B are C,No A are B,6.65,both,True
63885,43,124,AC,All B are C/All A are C,3,All B are C,All A are C,2.85,both,True
63885,44,57,AC,All B are C/All A are C,3,All B are C,All A are C,2.85,both,True
63885,45,69,DA,All B are C/No A are B,4,All B are C,No A are B,6.65,both,True
63885,46,105,DA,All B are C/No A are B,4,All B are C,No A are B,6.65,both,True
63885,47,26,MP,All B are C/All A are B,2,All B are C,All A are B,2.75,both,True
63885,48,125,MT,All B are C/No A are C,1,All B are C,No A are C,2.0,both,True
63885,49,49,AC,All B are C/All A are C,3,All B are C,All A are C,2.85,both,True
63885,50,116,AC,All B are C/All A are C,3,All B are C,All A are C,2.85,both,True
63885,51,7,MP,All B are C/All A are B,2,All B are C,All A are B,2.75,both,True
63885,52,101,MP,All B are C/All A are B,2,All B are C,All A are B,2.75,both,True
63885,53,114,AC,All B are C/All A are C,3,All B are C,All A are C,2.85,both,True
63885,54,63,AC,All B are C/All A are C,3,All B are C,All A are C,2.85,both,True
63885,55,18,AC,All B are C/All A are C,3,All B are C,All A are C,2.85,both,True
63885,56,32,MT,All B are C/No A are C,1,All B are C,No A are C,2.0,both,True
63885,57,31,MP,All B are C/All A are B,2,All B are C,All A are B,2.75,both,True
63885,58,91,DA,All B are C/No A are B,4,All B are C,No A are B,6.65,both,True
63885,59,16,DA,All B are C/No A are B,4,All B are C,No A are B,6.65,both,True
63885,60,8,AC,All B are C/All A are C,3,All B are C,All A are C,2.85,both,True
63885,61,2,DA,All B are C/No A are B,4,All B are C,No A are B,6.65,both,True
63885,62,72,DA,All B are C/No A are B,4,All B are C,No A are B,6.65,both,True
63885,63,22,MP,All B are C/All A are B,2,All B are C,All A are B,2.75,both,True
63885,64,20,AC,All B are C/All A are C,3,All B are C,All A are C,2.85,both,True
63954,1,1,MT,All B are C/No A are C,1,All B are C,No A are C,2.0,both,True
63954,2,14,MT,All B are C/No A are C,1,All B are C,No A are C,2.0,both,True
63954,3,56,MP,All B are C/All A are B,2,All B are C,All A are B,2.75,both,True
63954,4,71,MT,All B are C/No A are C,1,All B are C,No A are C,2.0,both,True
63954,5,33,MT,All B are C/No A are C,1,All B are C,No A are C,2.0,both,True
63954,6,118,AC,All B are C/All A are C,3,All B are C,All A are C,2.85,both,True
63954,7,59,AC,All B are C/All A are C,3,All B are C,All A are C,2.85,both,True
63954,8,122,AC,All B are C/All A are C,3,All B are C,All A are C,2.85,both,True
63954,9,12,MP,All B are C/All A are B,2,All B are C,All A are B,2.75,both,True
63954,10,10,DA,All B are C/No A are B,4,All B are C,No A are B,6.65,both,True
63954,11,77,MT,All B are C/No A are C,1,All B are C,No A are C,2.0,both,True
63954,12,24,AC,All B are C/All A are C,3,All B are C,All A are C,2.85,both,True
63954,13,44,DA,All B are C/No A are B,4,All B are C,No A are B,6.65,both,True
63954,14,103,AC,All B are C/All A are C,3,All B are C,All A are C,2.85,both,True
63954,15,11,MP,All B are C/All A are B,2,All B are C,All A are B,2.75,both,True
63954,16,39,MP,All B are C/All A are B,2,All B are C,All A are B,2.75,both,True
63954,17,96,DA,All B are C/No A are B,4,All B are C,No A are B,6.65,both,True
63954,18,37,MT,All B are C/No A are C,1,All B are C,No A are C,2.0,both,True
63954,19,74,DA,All B are C/No A are B,4,All B are C,No A are B,6.65,both,True
63954,20,98,AC,All B are C/All A are C,3,All B are C,All A are C,2.85,both,True
63954,21,84,MT,All B are C/No A are C,1,All B are C,No A are C,2.0,both,True
63954,22,53,DA,All B are C/No A are B,4,All B are C,No A are B,6.65,both,True
63954,23,34,MP,All B are C/All A are B,2,All B are C,All A are B,2.75,both,True
63954,24,52,MP,All B are C/All A are B,2,All B are C,All A are B,2.75,both,True
63954,25,88,DA,All B are C/No A are B,4,All B are C,No A are B,6.65,both,True
63954,26,70,MT,All B are C/No A are C,1,All B are C,No A are C,2.0,both,True
63954,27,117,AC,All B are C/All A are C,3,All B are C,All A are C,2.85,both,True
63954,28,109,MP,All B are C/All A are B,2,All B are C,All A are B,2.75,both,True
63954,29,40,MP,All B are C/All A are B,2,All B are C,All A are B,2.75,both,True
63954,30,108,DA,All B are C/No A are B,4,All B are C,No A are B,6.65,both,True
63954,31,21,AC,All B are C/All A are C,3,All B are C,All A are C,2.85,both,True
63954,32,19,AC,All B are C/All A are C,3,All B are C,All A are C,2.85,both,True
63954,33,104,DA,All B are C/No A are B,4,All B are C,No A are B,6.65,both,True
63954,34,62,AC,All B are C/All A are C,3,All B are C,All A are C,2.85,both,True
63954,35,46,MT,All B are C/No A are C,1,All B are C,No A are C,2.0,both,True
63954,36,93,DA,All B are C/No A are B,4,All B are C,No A are B,6.65,both,True
63954,37,95,MP,All B are C/All A are B,2,All B are C,All A are B,2.75,both,True
63954,38,9,AC,All B are C/All A are C,3,All B are C,All A are C,2.85,both,True
63954,39,61,AC,All B are C/All A are C,3,All B are C,All A are C,2.85,both,True
63954,40,45,DA,All B are C/No A are B,4,All B are C,No A are B,6.65,both,True
63954,41,55,MP,All B are C/All A are B,2,All B are C,All A are B,2.75,both,True
63954,42,94,MP,All B are C/All A are B,2,All B are C,All A are B,2.75,both,True
63954,43,43,MP,All B are C/All A are B,2,All B are C,All A are B,2.75,both,True
63954,44,92,MT,All B are C/No A are C,1,All B are C,No A are C,2.0,both,True
63954,45,54,DA,All B are C/No A are B,4,All B are C,No A are B,6.65,both,True
63954,46,4,MT,All B are C/No A are C,1,All B are C,No A are C,2.0,both,True
63954,47,42,MP,All B are C/All A are B,2,All B are C,All A are B,2.75,both,True
63954,48,78,AC,All B are C/All A are C,3,All B are C,All A are C,2.85,both,True
63954,49,119,AC,All B are C/All A are C,3,All B are C,All A are C,2.85,both,True
63954,50,85,MP,All B are C/All A are B,2,All B are C,All A are B,2.75,both,True
63954,51,126,MT,All B are C/No A are C,1,All B are C,No A are C,2.0,both,True
63954,52,87,DA,All B are C/No A are B,4,All B are C,No A are B,6.65,both,True
63954,53,86,MP,All B are C/All A are B,2,All B are C,All A are B,2.75,both,True
63954,54,97,MT,All B are C/No A are C,1,All B are C,No A are C,2.0,both,True
63954,55,107,MT,All B are C/No A are C,1,All B are C,No A are C,2.0,both,True
63954,56,30,MT,All B are C/No A are C,1,All B are C,No A are C,2.0,both,True
63954,57,65,MT,All B are C/No A are C,1,All B are C,No A are C,2.0,both,True
63954,58,25,AC,All B are C/All A are C,3,All B are C,All A are C,2.85,both,True
63954,59,89,DA,All B are C/No A are B,4,All B are C,No A are B,6.65,both,True
63954,60,38,DA,All B are C/No A are B,4,All B are C,No A are B,6.65,both,True
63954,61,47,AC,All B are C/All A are C,3,All B are C,All A are C,2.85,both,True
63954,62,128,DA,All B are C/No A are B,4,All B are C,No A are B,6.65,both,True
63954,63,41,MP,All B are C/All A are B,2,All B are C,All A are B,2.75,both,True
63954,64,127,DA,All B are C/No A are B,4,All B are C,No A are B,6.65,both,True
63969,1,58,DA,All B are C/No A are B,4,All B are C,No A are B,2.75,both,True
63969,2,82,DA,All B are C/No A are B,4,All B are C,No A are B,2.75,both,True
63969,3,29,MT,All B are C/No A are C,1,All B are C,No A are C,2.0,both,True
63969,4,124,AC,All B are C/All A are C,3,All B are C,All A are C,2.1,both,True
63969,5,110,DA,All B are C/No A are B,4,All B are C,No A are B,2.75,both,True
63969,6,23,AC,All B are C/All A are C,3,All B are C,All A are C,2.1,both,True
63969,7,102,AC,All B are C/All A are C,3,All B are C,All A are C,2.1,both,True
63969,8,57,AC,All B are C/All A are C,3,All B are C,All A are C,2.1,both,True
63969,9,123,DA,All B are C/No A are B,4,All B are C,No A are B,2.75,both,True
63969,10,36,DA,All B are C/No A are B,4,All B are C,No A are B,2.75,both,True
63969,11,32,MT,All B are C/No A are C,1,All B are C,No A are C,2.0,both,True
63969,12,100,MT,All B are C/No A are C,1,All B are C,No A are C,2.0,both,True
63969,13,63,AC,All B are C/All A are C,3,All B are C,All A are C,2.1,both,True
63969,14,73,MT,All B are C/No A are C,1,All B are C,No A are C,2.0,both,True
63969,15,99,AC,All B are C/All A are C,3,All B are C,All A are C,2.1,both,True
63969,16,22,MP,All B are C/All A are B,2,All B are C,All A are B,2.0,both,True
63969,17,105,DA,All B are C/No A are B,4,All B are C,No A are B,2.75,both,True
63969,18,113,MP,All B are C/All A are B,2,All B are C,All A are B,2.0,both,True
63969,19,27,AC,All B are C/All A are C,3,All B are C,All A are C,2.1,both,True
63969,20,51,MT,All B are C/No A are C,1,All B are C,No A are C,2.0,both,True
63969,21,7,MP,All B are C/All A are B,2,All B are C,All A are B,2.0,both,True
63969,22,49,AC,All B are C/All A are C,3,All B are C,All A are C,2.1,both,True
63969,23,15,MT,All B are C/No A are C,1,All B are C,No A are C,2.0,both,True
63969,24,69,DA,All B are C/No A are B,4,All B are C,No A are B,2.75,both,True
63969,25,5,MT,All B are C/No A are C,1,All B are C,No A are C,2.0,both,True
63969,26,121,AC,All B are C/All A are C,3,All B are C,All A are C,2.1,both,True
63969,27,75,DA,All B are C/No A are B,4,All B are C,No A are B,2.75,both,True
63969,28,16,DA,All B are C/No A are B,4,All B are C,No A are B,2.75,both,True
63969,29,115,MP,All B are C/All A are B,2,All B are C,All A are B,2.0,both,True
63969,30,66,MT,All B are C/No A are C,1,All B are C,No A are C,2.0,both,True
63969,31,125,MT,All B are C/No A are C,1,All B are C,No A are C,2.0,both,True
63969,32,76,MT,All B are C/No A are C,1,All B are C,No A are C,2.0,both,True
63969,33,13,MP,All B are C/All A are B,2,All B are C,All A are B,2.0,both,True
63969,34,91,DA,All B are C/No A are B,4,All B are C,No A are B,2.75,both,True
63969,35,20,AC,All B are C/All A are C,3,All B are C,All A are C,2.1,both,True
63969,36,111,MP,All B are C/All A are B,2,All B are C,All A are B,2.0,both,True
63969,37,64,MP,All B are C/All A are B,2,All B are C,All A are B,2.0,both,True
63969,38,26,MP,All B are C/All A are B,2,All B are C,All A are B,2.0,both,True
63969,39,79,DA,All B are C/No A are B,4,All B are C,No A are B,2.75,both,True
63969,40,17,MP,All B are C/All A are B,2,All B are C,All A are B,2.0,both,True
63969,41,101,MP,All B are C/All A are B,2,All B are C,All A are B,2.0,both,True
63969,42,50,MP,All B are C/All A are B,2,All B are C,All A are B,2.0,both,True
63969,43,120,MP,All B are C/All A are B,2,All B are C,All A are B,2.0,both,True
63969,44,8,AC,All B are C/All A are C,3,All B are C,All A are C,2.1,both,True
63969,45,31,MP,All B are C/All A are B,2,All B are C,All A are B,2.0,both,True
63969,46,106,MT,All B are C/No A are C,1,All B are C,No A are C,2.0,both,True
63969,47,28,DA,All B are C/No A are B,4,All B are C,No A are B,2.75,both,True
63969,48,3,MT,All B are C/No A are C,1,All B are C,No A are C,2.0,both,True
63969,49,81,MP,All B are C/All A are B,2,All B are C,All A are B,2.0,both,True
63969,50,48,MP,All B are C/All A are B,2,All B are C,All A are B,2.0,both,True
63969,51,112,MP,All B are C/All A are B,2,All B are C,All A are B,2.0,both,True
63969,52,72,DA,All B are C/No A are B,4,All B are C,No A are B,2.75,both,True
63969,53,60,AC,All B are C/All A are C,3,All B are C,All A are C,2.1,both,True
63969,54,90,MT,All B are C/No A are C,1,All B are C,No A are C,2.0,both,True
63969,55,67,DA,All B are C/No A are B,4,All B are C,No A are B,2.75,both,True
63969,56,68,MT,All B are C/No A are C,1,All B are C,No A are C,2.0,both,True
63969,57,6,DA,All B are C/No A are B,4,All B are C,No A are B,2.75,both,True
63969,58,80,AC,All B are C/All A are C,3,All B are C,All A are C,2.1,both,True
63969,59,83,MT,All B are C/No A are C,1,All B are C,No A are C,2.0,both,True
63969,60,116,AC,All B are C/All A are C,3,All B are C,All A are C,2.1,both,True
63969,61,2,DA,All B are C/No A are B,4,All B are C,No A are B,2.75,both,True
63969,62,18,AC,All B are C/All A are C,3,All B are C,All A are C,2.1,both,True
63969,63,35,MT,All B are C/No A are C,1,All B are C,No A are C,2.0,both,True
63969,64,114,AC,All B are C/All A are C,3,All B are C,All A are C,2.1,both,True
63977,1,33,MT,All B are C/No A are C,1,All B are C,No A are C,2.0,both,True
63977,2,88,DA,All B are C/No A are B,4,All B are C,No A are B,2.75,both,True
63977,3,95,MP,All B are C/All A are B,2,All B are C,All A are B,2.0,both,True
63977,4,41,MP,All B are C/All A are B,2,All B are C,All A are B,2.0,both,True
63977,5,107,MT,All B are C/No A are C,1,All B are C,No A are C,2.0,both,True
63977,6,44,DA,All B are C/No A are B,4,All B are C,No A are B,2.75,both,True
63977,7,65,MT,All B are C/No A are C,1,All B are C,No A are C,2.0,both,True
63977,8,34,MP,All B are C/All A are B,2,All B are C,All A are B,2.0,both,True
63977,9,126,MT,All B are C/No A are C,1,All B are C,No A are C,2.0,both,True
63977,10,30,MT,All B are C/No A are C,1,All B are C,No A are C,2.0,both,True
63977,11,4,MT,All B are C/No A are C,1,All B are C,No A are C,2.0,both,True
63977,12,46,MT,All B are C/No A are C,1,All B are C,No A are C,2.0,both,True
63977,13,128,DA,All B are C/No A are B,4,All B are C,No A are B,2.75,both,True
63977,14,103,AC,All B are C/All A are C,3,All B are C,All A are C,2.1,both,True
63977,15,96,DA,All B are C/No A are B,4,All B are C,No A are B,2.75,both,True
63977,16,109,MP,All B are C/All A are B,2,All B are C,All A are B,2.0,both,True
63977,17,118,AC,All B are C/All A are C,3,All B are C,All A are C,2.1,both,True
63977,18,38,DA,All B are C/No A are B,4,All B are C,No A are B,2.75,both,True
63977,19,39,MP,All B are C/All A are B,2,All B are C,All A are B,2.0,both,True
63977,20,78,AC,All B are C/All A are C,3,All B are C,All A are C,2.1,both,True
63977,21,74,DA,All B are C/No A are B,4,All B are C,No A are B,2.75,both,True
63977,22,10,DA,All B are C/No A are B,4,All B are C,No A are B,2.75,both,True
63977,23,42,MP,All B are C/All A are B,2,All B are C,All A are B,2.0,both,True
63977,24,89,DA,All B are C/No A are B,4,All B are C,No A are B,2.75,both,True
63977,25,127,DA,All B are C/No A are B,4,All B are C,No A are B,2.75,both,True
63977,26,117,AC,All B are C/All A are C,3,All B are C,All A are C,2.1,both,True
